Date,Amount
2014-10-23,5.95
2014-10-24,5.86
2014-10-25,5.78
2014-10-26,5.73
2014-10-27,5.69
2014-10-28,5.65
2014-10-29,5.63
2014-10-30,5.63
2014-10-31,5.58
2014-11-01,5.50
2014-11-02,5.44
2014-11-03,5.39
2014-11-04,5.35
2014-11-05,5.32
2014-11-06,5.31
2014-11-07,5.28
2014-11-08,5.24
2014-11-09,5.20
2014-11-10,5.21
2014-11-11,5.25
2014-11-12,5.27
2014-11-13,5.33
2014-11-14,5.33
2014-11-15,5.32
2014-11-16,5.33
2014-11-17,5.33
2014-11-18,5.34
2014-11-19,5.36
2014-11-20,5.40
2014-11-21,5.44
2014-11-22,5.49
2014-11-23,5.55
2014-11-24,5.61
2014-11-25,5.66
2014-11-26,5.72
2014-11-27,5.77
2014-11-28,5.82
2014-11-29,5.86
2014-11-30,5.92
2014-12-01,6.01
2014-12-02,6.11
2014-12-03,6.24
2014-12-04,6.38
2014-12-05,6.51
2014-12-06,6.61
2014-12-07,6.68
2014-12-08,6.81
2014-12-09,6.95
2014-12-10,7.07
2014-12-11,7.16
2014-12-12,7.20
2014-12-13,7.23
2014-12-14,7.23
2014-12-15,7.27
2014-12-16,7.33
2014-12-17,7.37
2014-12-18,7.41
2014-12-19,7.44
2014-12-20,7.47
2014-12-21,7.48
2014-12-22,7.51
2014-12-23,7.55
2014-12-24,7.58
2014-12-25,7.62
2014-12-26,7.64
2014-12-27,7.65
2014-12-28,7.66
2014-12-29,7.68
2014-12-30,7.74
2014-12-31,7.77
